Date,Close,High,Low,Open,Volume
2025-03-19,15.800000190734863,15.800000190734863,15.600000381469727,15.600000381469727,235
2025-03-20,15.199999809265137,16.399999618530273,15.0,15.800000190734863,900
2025-03-21,15.600000381469727,17.0,15.199999809265137,15.600000381469727,6825
2025-03-24,15.399999618530273,15.800000190734863,15.0,15.800000190734863,1375
2025-03-25,15.199999809265137,15.800000190734863,15.0,15.399999618530273,390
2025-03-26,14.800000190734863,15.0,14.399999618530273,15.0,3350
2025-03-27,14.600000381469727,15.199999809265137,14.399999618530273,14.600000381469727,385
2025-03-28,14.600000381469727,15.0,14.199999809265137,14.399999618530273,145
2025-03-31,13.600000381469727,14.600000381469727,12.600000381469727,14.199999809265137,810
2025-04-01,13.399999618530273,14.600000381469727,13.399999618530273,13.399999618530273,155
2025-04-02,14.0,15.800000190734863,13.600000381469727,13.600000381469727,1975
2025-04-03,13.600000381469727,14.0,13.600000381469727,14.0,275
2025-04-04,13.399999618530273,14.199999809265137,12.199999809265137,12.199999809265137,935
2025-04-07,13.399999618530273,15.0,12.399999618530273,12.399999618530273,1545
2025-04-08,14.199999809265137,14.600000381469727,13.399999618530273,14.0,205
2025-04-09,12.800000190734863,14.0,12.399999618530273,13.0,5435
2025-04-10,12.800000190734863,13.600000381469727,12.800000190734863,13.399999618530273,440
2025-04-11,12.0,12.800000190734863,12.0,12.800000190734863,1140
2025-04-14,12.199999809265137,12.600000381469727,9.199999809265137,12.199999809265137,3720
2025-04-15,10.800000190734863,11.800000190734863,10.800000190734863,11.600000381469727,315
2025-04-16,11.199999809265137,11.800000190734863,10.399999618530273,10.399999618530273,2375
2025-04-17,11.199999809265137,11.199999809265137,10.399999618530273,11.199999809265137,465
2025-04-21,10.600000381469727,11.199999809265137,10.399999618530273,10.800000190734863,1630
2025-04-22,11.199999809265137,11.600000381469727,10.600000381469727,10.600000381469727,600
2025-04-23,11.399999618530273,12.0,11.0,11.0,245
2025-04-24,12.0,12.0,11.399999618530273,11.399999618530273,635
2025-04-25,12.0,12.399999618530273,12.0,12.399999618530273,175
2025-04-28,13.0,13.0,12.0,12.800000190734863,850
2025-04-29,11.800000190734863,12.800000190734863,11.800000190734863,12.800000190734863,1105
2025-04-30,12.0,12.199999809265137,11.800000190734863,12.199999809265137,135
2025-05-01,11.600000381469727,12.0,11.0,12.0,170
2025-05-02,11.399999618530273,11.399999618530273,11.399999618530273,11.399999618530273,65
2025-05-05,11.399999618530273,11.399999618530273,11.399999618530273,11.399999618530273,25
2025-05-06,10.600000381469727,11.600000381469727,10.399999618530273,11.0,840
2025-05-07,11.399999618530273,11.800000190734863,11.399999618530273,11.800000190734863,360
2025-05-08,12.600000381469727,12.800000190734863,11.600000381469727,11.600000381469727,845
2025-05-09,15.399999618530273,17.600000381469727,12.0,12.199999809265137,27375
2025-05-12,15.800000190734863,16.399999618530273,14.600000381469727,16.200000762939453,3380
2025-05-13,15.0,15.800000190734863,15.0,15.399999618530273,835
2025-05-14,15.0,15.399999618530273,14.399999618530273,14.399999618530273,455
2025-05-15,15.0,16.0,15.0,15.399999618530273,1235
